ID,NAME_FIRST,NAME_MIDDLE,NAME_LAST,NAME_INITIALS,GENDER,LANGUAGE,PHONE_NUMBER,EMAIL,LOGIN_NAME,CURRENCY_CODE,SALARY_AMOUNT,ACCOUNT_NUMBER,BANK_ID,BANK_NAME
02BD2137-0890-1EEA-A6C2-BB55C19787FB,Sally,,Spring,,F,E,+1 224 374 524,sally.spring@itelo.info,SPRINGS,USD,55549,111222333,510000655,My Bank of Antioch
02BD2137-0890-1EEA-A6C2-BB55C197A7FB,Susan,,Summer,,F,E,,susan.summer@itelo.info,SUMMERS,USD,76239,9988776655,121000358,My Bank of San Francisco
02BD2137-0890-1EEA-A6C2-BB55C19807FB,Maria,,Hicks,,F,E,,maria.hicks@itelo.info,HICKSM,USD,49876,1122334455,26005885,My Bank of New York
02BD2137-0890-1EEA-A6C2-BB55C19827FB,John,Paul,Dash,,M,E,,john.dash@itelo.info,DASHJ,USD,72691,5544332211,121000358,My Bank of San Francisco
02BD2137-0890-1EEA-A6C2-BB55C19847FB,Viola,Sarah,Gains,,F,E,+1 224 374 522,viola.gains@itelo.info,GAINSV,USD,110962,222333444,510000655,My Bank of Antioch
02BD2137-0890-1EEA-A6C2-BB55C19867FB,Randy,,Gordon,,M,E,,randy.gordon@itelo.info,GORDONR,USD,81463,2233445566,26005885,My Bank of New York
02BD2137-0890-1EEA-A6C2-BB55C19887FB,Paul,,Burke,,M,E,+1 224 374 523,paul.burke@itelo.info,BURKEP,USD,100491,333444555,510000655,My Bank of Antioch
02BD2137-0890-1EEA-A6C2-BB55C198A7FB,Michael,,Miller,,M,E,,michael.miller@itelo.info,MILLERM,USD,86574,76543210,66665555,My Bank of London
02BD2137-0890-1EEA-A6C2-BB55C198E7FB,John,,Smith,,M,E,,john.smith@itelo.info,SMITHJO,USD,60350,98765432,66665555,My Bank of London
02BD2137-0890-1EEA-A6C2-BB55C19B87FB,Richard,Andrew,Fisher,,M,E,,fisher.richard@itelo.info,FISHERRI,EUR,67234,567890123,99999888,Deutsches Geldinstitut
